Date,Time,Booking ID,Booking Status,Customer ID,Vehicle Type,Pickup Location,Drop Location,Avg Vehicle Turnaround Time,Avg Customer Turnaround Time,Cancelled Rides by Customer,Reason for cancelling by Customer,Cancelled Rides by Driver,Driver Cancellation Reason,Incomplete Rides,Incomplete Rides Reason,Booking Value,Ride Distance,Driver Ratings,Customer Rating,Payment Method
2024-06-14 00:00:00,16:24:12,"""CNR9070334""",Completed,"""CID6680340""",Auto,Udyog Bhawan,Dwarka Sector 21,7.7,18.9,0,Driver asked to cancel,0,More than permitted people in there,0,Vehicle Breakdown,181,19.84,4.2,4.9,Cash
2024-09-18 00:00:00,08:09:38,"""CNR9551927""",No Driver Found,"""CID7568143""",Auto,Vidhan Sabha,AIIMS,8.321474359,28.61575145,0,Driver asked to cancel,0,More than permitted people in there,0,Vehicle Breakdown,483.4566474,25.46128613,4.22464455,4.404739336,UPI
2024-06-25 00:00:00,22:44:15,"""CNR4386945""",Cancelled by Driver,"""CID5543520""",eBike,Patel Chowk,Kherki Daula Toll,4.6,28.61575145,0,Driver asked to cancel,1,Personal & Car related issues,0,Vehicle Breakdown,483.4566474,25.46128613,4.22464455,4.404739336,UPI
2024-09-11 00:00:00,19:29:39,"""CNR2987763""",Completed,"""CID2669710""",Go Mini,Malviya Nagar,Ghitorni Village,,28.2,0,Driver asked to cancel,0,More than permitted people in there,0,Vehicle Breakdown,394,21.44,4.1,4.7,UPI
2024-10-18 00:00:00,18:28:53,"""CNR8962232""",Completed,"""CID1789354""",Go Mini,Madipur,GTB Nagar,14,30.9,0,Driver asked to cancel,0,More than permitted people in there,0,Vehicle Breakdown,836,39.55,4.7,4.4,UPI
2024-06-07 00:00:00,15:05:35,"""CNR2390352""",Completed,"""CID5432215""",Auto,Jama Masjid,Khan Market,8.5,36.9,0,Driver asked to cancel,0,More than permitted people in there,0,Vehicle Breakdown,410,34.76,,4.9,Uber Wallet
2024-07-01 00:00:00,10:51:16,"""CNR3221338""",Completed,"""CID2581698""",Premier Sedan,IGI Airport,Madipur,5.6,27.5,0,Driver asked to cancel,0,More than permitted people in there,0,Vehicle Breakdown,401,21.97,4.9,4.3,UPI
2024-12-15 00:00:00,15:08:25,"""CNR6739317""",Cancelled by Driver,"""CID8682675""",Go Sedan,Vinobapuri,GTB Nagar,6,28.61575145,0,Driver asked to cancel,1,Customer related issue,0,Vehicle Breakdown,483.4566474,25.46128613,4.22464455,4.404739336,UPI
2024-11-24 00:00:00,09:07:10,"""CNR6126048""",Cancelled by Customer,"""CID1060329""",eBike,Kashmere Gate,Anand Vihar,12.4,28.61575145,1,Driver is not moving towards pickup location,0,More than permitted people in there,0,Vehicle Breakdown,483.4566474,25.46128613,4.22464455,4.404739336,UPI
2024-05-24 00:00:00,19:53:57,"""CNR9465840""",Cancelled by Driver,"""CID9046501""",eBike,Pitampura,Rajiv Nagar,10.3,28.61575145,0,Driver asked to cancel,1,Customer related issue,0,Vehicle Breakdown,483.4566474,25.46128613,4.22464455,4.404739336,UPI
2024-12-14 00:00:00,21:27:04,"""CNR9843229""",Completed,"""CID4929303""",Go Sedan,Punjabi Bagh,,6.1,33.7,0,Driver asked to cancel,0,More than permitted people in there,0,Vehicle Breakdown,264,13.64,3.8,4.7,Uber Wallet
2024-07-29 00:00:00,06:28:22,"""CNR7911434""",Completed,"""CID8465004""",Auto,Greater Noida,Botanical Garden,7,21.3,0,Driver asked to cancel,0,More than permitted people in there,0,Vehicle Breakdown,183,4.5,5,4.2,UPI
2024-02-23 00:00:00,11:02:45,"""CNR6178330""",Completed,"""CID7719678""",Go Mini,Tis Hazari,IMT Manesar,10.4,25.1,0,Driver asked to cancel,0,More than permitted people in there,0,Vehicle Breakdown,713,38.03,3.7,3.6,UPI
2024-03-09 00:00:00,20:14:24,"""CNR5309981""",Completed,"""CID3870048""",Go Mini,Noida Sector 18,Old Gurgaon,7.9,41.1,0,Driver asked to cancel,0,More than permitted people in there,0,Vehicle Breakdown,113,14.53,4.6,4.9,UPI
2024-08-28 00:00:00,16:30:14,"""CNR2978950""",Completed,"""CID2977484""",Auto,Kanhaiya Nagar,Anand Vihar,13.6,25.2,0,Driver asked to cancel,0,More than permitted people in there,0,Vehicle Breakdown,767,7.39,3.8,4.6,Debit Card
2024-08-08 00:00:00,06:34:38,"""CNR2806943""",Completed,"""CID7550481""",Uber XL,Okhla,Barakhamba Road,5.1,20.7,0,Driver asked to cancel,0,More than permitted people in there,0,Vehicle Breakdown,495,10.23,3.8,4.2,Credit Card
2024-01-26 00:00:00,09:44:00,"""CNR3614535""",Cancelled by Driver,"""CID2507102""",Auto,Cyber Hub,Saket,11.5,28.61575145,0,Driver asked to cancel,1,Personal & Car related issues,0,Vehicle Breakdown,483.4566474,25.46128613,4.22464455,4.404739336,UPI
2024-04-12 00:00:00,19:42:35,"""CNR4499383""",No Driver Found,"""CID5717521""",Premier Sedan,Sadar Bazar Gurgaon,Mehrauli,8.321474359,28.61575145,0,Driver asked to cancel,0,More than permitted people in there,0,Vehicle Breakdown,483.4566474,25.46128613,4.22464455,4.404739336,UPI
2024-04-05 00:00:00,18:57:12,"""CNR9834201""",Incomplete,"""CID7891331""",Bike,Shastri Park,Botanical Garden,3.1,28.2,0,Driver asked to cancel,0,More than permitted people in there,1,Vehicle Breakdown,304,1.98,4.22464455,4.404739336,UPI
2024-11-03 00:00:00,12:24:59,"""CNR8779845""",Completed,"""CID7444351""",Auto,Faridabad Sector 15,Malviya Nagar,8.9,31.1,0,Driver asked to cancel,0,More than permitted people in there,0,Vehicle Breakdown,2847,39.21,3.1,4.6,Debit Card
2024-05-18 00:00:00,17:37:52,"""CNR2178654""",Cancelled by Driver,"""CID3631860""",Go Mini,Qutub Minar,Vishwavidyalaya,9.2,28.61575145,0,Driver asked to cancel,1,More than permitted people in there,0,Vehicle Breakdown,483.4566474,25.46128613,4.22464455,4.404739336,UPI
2024-11-15 00:00:00,05:53:55,"""CNR3871541""",Completed,"""CID9849259""",Go Mini,Mundka,Preet Vihar,8.9,41,0,Driver asked to cancel,0,More than permitted people in there,0,Vehicle Breakdown,282,8.36,3.8,4.4,UPI
2024-02-04 00:00:00,18:08:04,"""CNR2877692""",Completed,"""CID5901711""",Premier Sedan,DLF City Court,Nehru Place,11.5,,0,Driver asked to cancel,0,More than permitted people in there,0,Vehicle Breakdown,656,6.39,5,4.9,Uber Wallet
2024-05-29 00:00:00,14:05:10,"""CNR9603633""",Completed,"""CID5856503""",Auto,Tis Hazari,Shahdara,2,19.4,0,Driver asked to cancel,0,More than permitted people in there,0,Vehicle Breakdown,134,46.66,3.8,4.4,Credit Card
2024-07-13 00:00:00,19:53:15,"""CNR8087051""",Cancelled by Driver,"""CID9716528""",Go Sedan,,Ghitorni Village,5.4,28.61575145,0,Driver asked to cancel,1,Customer related issue,0,Vehicle Breakdown,483.4566474,25.46128613,4.22464455,4.404739336,UPI
2024-06-07 00:00:00,19:21:10,"""CNR7823292""",Completed,"""CID9377721""",Go Sedan,Nirman Vihar,Malviya Nagar,14.6,25.4,0,Driver asked to cancel,0,More than permitted people in there,0,Vehicle Breakdown,470,27.07,3.7,4.2,Cash
2024-05-16 00:00:00,13:04:31,"""CNR9918895""",Completed,"""CID9520433""",Auto,New Delhi Railway Station,Noida Film City,6.7,,0,Driver asked to cancel,0,More than permitted people in there,0,Vehicle Breakdown,187,12.16,4.9,4.3,UPI
2024-10-02 00:00:00,03:10:35,"""CNR7401001""",Completed,"""CID9958715""",Premier Sedan,Civil Lines Gurgaon,Mandi House,6.6,30,0,Driver asked to cancel,0,More than permitted people in there,0,Vehicle Breakdown,186,10.28,4.4,4.6,UPI
2024-02-26 00:00:00,15:43:16,"""CNR2631310""",Completed,"""CID4355670""",eBike,Seelampur,Janakpuri,10,35.8,0,Driver asked to cancel,0,More than permitted people in there,0,Vehicle Breakdown,70,44.42,4.1,4.4,UPI
2024-09-10 00:00:00,13:02:42,"""CNR4218487""",Cancelled by Customer,"""CID3037053""",Bike,Noida Extension,Udyog Vihar Phase 4,11,28.61575145,1,Driver is not moving towards pickup location,0,More than permitted people in there,0,Vehicle Breakdown,483.4566474,25.46128613,4.22464455,4.404739336,UPI
2024-09-12 00:00:00,09:14:57,"""CNR5333099""",Cancelled by Driver,"""CID5112050""",Auto,Adarsh Nagar,Civil Lines Gurgaon,8,28.61575145,0,Driver asked to cancel,1,Personal & Car related issues,0,Vehicle Breakdown,483.4566474,25.46128613,4.22464455,4.404739336,UPI
2024-01-24 00:00:00,10:47:57,"""CNR5969954""",Completed,"""CID5558118""",Auto,Vinobapuri,Karkarduma,12.8,18.7,0,Driver asked to cancel,0,More than permitted people in there,0,Vehicle Breakdown,273,34.64,4.5,4.6,Uber Wallet
2024-02-12 00:00:00,19:42:39,"""CNR4130953""",Incomplete,"""CID3196782""",Premier Sedan,Panipat,Tagore Garden,6.4,10.5,0,Driver asked to cancel,0,More than permitted people in there,1,Other Issue,966,18.3,4.22464455,4.404739336,Debit Card
2024-10-02 00:00:00,19:17:00,"""CNR6693125""",Cancelled by Driver,"""CID7364449""",Auto,Karol Bagh,Tagore Garden,5.4,28.61575145,0,Driver asked to cancel,1,More than permitted people in there,0,Vehicle Breakdown,483.4566474,25.46128613,4.22464455,4.404739336,UPI
2024-04-01 00:00:00,21:14:19,"""CNR9572979""",Completed,"""CID3474992""",Go Sedan,Sultanpur,Noida Extension,12.2,42.3,0,Driver asked to cancel,0,More than permitted people in there,0,Vehicle Breakdown,251,20.91,4.2,3.6,Debit Card
2024-09-18 00:00:00,21:06:36,"""CNR6444364""",Cancelled by Driver,"""CID8262635""",Go Mini,Moti Nagar,Anand Vihar ISBT,6.6,28.61575145,0,Driver asked to cancel,1,More than permitted people in there,0,Vehicle Breakdown,483.4566474,,4.22464455,4.404739336,UPI
2024-08-02 00:00:00,07:17:07,"""CNR4862806""",Cancelled by Customer,"""CID7875150""",Auto,Shastri Park,Anand Vihar ISBT,11.3,28.61575145,1,Driver asked to cancel,0,More than permitted people in there,0,Vehicle Breakdown,483.4566474,25.46128613,4.22464455,4.404739336,UPI
2024-09-30 00:00:00,13:10:50,"""CNR4674790""",Incomplete,"""CID4795905""",Bike,Dilshad Garden,Nehru Place,2.3,29.7,0,Driver asked to cancel,0,More than permitted people in there,1,Vehicle Breakdown,453,19.24,4.22464455,4.404739336,Debit Card
2024-06-16 00:00:00,00:44:47,"""CNR6866217""",Completed,"""CID7798304""",Go Sedan,Dilshad Garden,Nehru Place,7.8,42.2,0,Driver asked to cancel,0,More than permitted people in there,0,Vehicle Breakdown,246,8.13,4.2,4.5,UPI
2024-09-18 00:00:00,09:33:55,"""CNR4932611""",Completed,"""CID8795963""",Auto,Aya Nagar,Karkarduma,8.8,25.2,0,Driver asked to cancel,0,More than permitted people in there,0,Vehicle Breakdown,237,2.96,3.9,3.3,UPI
2024-05-04 00:00:00,21:26:59,"""CNR1572483""",Incomplete,"""CID6059557""",Go Mini,Rajiv Chowk,Central Secretariat,9.9,21.6,0,Driver asked to cancel,0,More than permitted people in there,1,Vehicle Breakdown,1581,1.82,4.22464455,4.404739336,Cash
2024-06-03 00:00:00,18:14:47,"""CNR6945858""",Completed,"""CID9079088""",Go Mini,MG Road,Hauz Rani,4.1,25.1,0,Driver asked to cancel,0,More than permitted people in there,0,Vehicle Breakdown,379,33.04,4.2,4.5,Uber Wallet
2024-10-03 00:00:00,22:20:34,"""CNR6584679""",Completed,"""CID4738537""",Go Mini,Jasola,Palam Vihar,11.2,40.7,0,Driver asked to cancel,0,More than permitted people in there,0,Vehicle Breakdown,545,44.7,4.3,4.3,Cash
2024-05-25 00:00:00,11:24:29,"""CNR6125653""",Completed,"""CID2808212""",Go Mini,Kashmere Gate,RK Puram,3,35.4,0,Driver asked to cancel,0,More than permitted people in there,0,Vehicle Breakdown,479,7.38,4.2,4.6,UPI
2024-03-04 00:00:00,17:46:46,"""CNR6092529""",Cancelled by Driver,"""CID5040634""",Go Sedan,Ardee City,Basai Dhankot,11.2,28.61575145,0,Driver asked to cancel,1,More than permitted people in there,0,Vehicle Breakdown,483.4566474,25.46128613,4.22464455,4.404739336,UPI
2024-11-10 00:00:00,05:13:57,"""CNR6339107""",Completed,"""CID7358763""",Go Mini,Punjabi Bagh,Madipur,9.1,23.2,0,Driver asked to cancel,0,More than permitted people in there,0,Vehicle Breakdown,647,24.93,4.3,4.7,Uber Wallet
2024-09-11 00:00:00,10:36:44,"""CNR1349015""",Cancelled by Driver,"""CID9386278""",Auto,Meerut,Badarpur,4.3,,0,Driver asked to cancel,1,More than permitted people in there,0,Vehicle Breakdown,483.4566474,25.46128613,4.22464455,4.404739336,UPI
2024-04-11 00:00:00,15:43:34,"""CNR9773309""",No Driver Found,"""CID9965847""",Uber XL,Anand Vihar ISBT,Dwarka Sector 21,,,0,Driver asked to cancel,0,More than permitted people in there,0,Vehicle Breakdown,483.4566474,25.46128613,4.22464455,4.404739336,UPI
2024-06-01 00:00:00,10:03:27,"""CNR2107544""",Completed,"""CID1266188""",Premier Sedan,Mayur Vihar,Palam Vihar,11.4,42.1,0,Driver asked to cancel,0,More than permitted people in there,0,Vehicle Breakdown,125,25.16,4.3,5,Credit Card
2024-05-09 00:00:00,10:44:30,"""CNR4171959""",Cancelled by Driver,"""CID8470723""",Premier Sedan,Lajpat Nagar,,,28.61575145,0,Driver asked to cancel,1,Customer related issue,0,Vehicle Breakdown,483.4566474,25.46128613,4.22464455,4.404739336,UPI
2024-07-30 00:00:00,12:02:26,"""CNR5316307""",Completed,"""CID1816553""",Premier Sedan,Tughlakabad,Akshardham,12.4,21.5,0,Driver asked to cancel,0,More than permitted people in there,0,Vehicle Breakdown,375,48.85,3.3,3.3,Cash
2024-02-25 00:00:00,16:23:19,"""CNR3635865""",Completed,"""CID6477355""",Auto,Cyber Hub,Yamuna Bank,11.7,33,0,Driver asked to cancel,0,More than permitted people in there,0,Vehicle Breakdown,310,24.41,4.6,3.8,Debit Card
2024-02-09 00:00:00,11:15:59,"""CNR2497989""",Cancelled by Customer,"""CID5007066""",Auto,Karkarduma,IGI Airport,16.6,28.61575145,1,Driver is not moving towards pickup location,0,More than permitted people in there,0,Vehicle Breakdown,483.4566474,25.46128613,4.22464455,4.404739336,UPI
2024-03-02 00:00:00,04:59:03,"""CNR8946337""",Cancelled by Driver,"""CID6438326""",Go Sedan,Shastri Nagar,New Colony,5.4,28.61575145,0,Driver asked to cancel,1,Customer related issue,0,Vehicle Breakdown,483.4566474,25.46128613,4.22464455,4.404739336,UPI
2024-08-27 00:00:00,18:22:02,"""CNR3740694""",Incomplete,"""CID5885514""",Auto,Aya Nagar,Green Park,2.3,10.1,0,Driver asked to cancel,0,More than permitted people in there,1,Vehicle Breakdown,370,13.85,4.22464455,4.404739336,Cash
2024-03-08 00:00:00,09:28:38,"""CNR4660896""",Cancelled by Driver,"""CID5486947""",Premier Sedan,Dwarka Mor,ITO,5.8,28.61575145,0,Driver asked to cancel,1,More than permitted people in there,0,Vehicle Breakdown,483.4566474,25.46128613,4.22464455,4.404739336,UPI
2024-03-20 00:00:00,09:59:11,"""CNR2513330""",Cancelled by Driver,"""CID7805280""",Premier Sedan,Adarsh Nagar,Noida Extension,6.7,28.61575145,0,Driver asked to cancel,1,Customer related issue,0,Vehicle Breakdown,483.4566474,25.46128613,4.22464455,4.404739336,UPI
2024-01-25 00:00:00,12:39:21,"""CNR9252424""",Completed,"""CID9413620""",eBike,Vidhan Sabha,Mehrauli,12.1,18.1,0,Driver asked to cancel,0,More than permitted people in there,0,Vehicle Breakdown,291,3.71,3.2,4.3,UPI
2024-04-11 00:00:00,11:14:35,"""CNR3096031""",Completed,"""CID3101926""",Auto,Anand Vihar,Saket,5.8,24.3,0,Driver asked to cancel,0,More than permitted people in there,0,Vehicle Breakdown,114,32.98,4.3,4.5,Uber Wallet
2024-06-17 00:00:00,20:25:47,"""CNR4141159""",Completed,"""CID6810411""",Go Mini,Uttam Nagar,New Delhi Railway Station,4,44.5,0,Driver asked to cancel,0,More than permitted people in there,0,Vehicle Breakdown,464,11.2,4.5,4.2,Cash
2024-07-29 00:00:00,19:52:48,"""CNR6757829""",Completed,"""CID8433663""",Go Sedan,Model Town,Mundka,3.4,27.1,0,Driver asked to cancel,0,More than permitted people in there,0,Vehicle Breakdown,160,45.4,4,5,Cash
2024-12-22 00:00:00,10:53:20,"""CNR6204326""",Cancelled by Driver,"""CID9419495""",Auto,Mandi House,India Gate,11.1,28.61575145,0,Driver asked to cancel,1,Personal & Car related issues,0,Vehicle Breakdown,483.4566474,25.46128613,4.22464455,4.404739336,UPI
2024-12-21 00:00:00,21:40:00,"""CNR3347993""",Completed,"""CID4871438""",eBike,Ghitorni,Pitampura,9.9,38.5,0,Driver asked to cancel,0,More than permitted people in there,0,Vehicle Breakdown,206,28.78,4.1,3.7,Cash
2024-02-23 00:00:00,11:38:09,"""CNR6796311""",Incomplete,"""CID1880505""",Go Mini,Ghitorni Village,Palam Vihar,5.9,17.2,0,Driver asked to cancel,0,More than permitted people in there,1,Customer Demand,217,2.81,4.22464455,4.404739336,Credit Card
2024-05-05 00:00:00,21:22:39,"""CNR3908312""",Completed,"""CID8787746""",Bike,Okhla,Netaji Subhash Place,8.1,37.3,0,Driver asked to cancel,0,More than permitted people in there,0,Vehicle Breakdown,633,17.34,4.5,4.9,Credit Card
2024-11-08 00:00:00,17:01:10,"""CNR9416323""",Completed,"""CID1025742""",Auto,DLF City Court,Udyog Vihar Phase 4,6.1,28.2,0,Driver asked to cancel,0,More than permitted people in there,0,Vehicle Breakdown,717,9.38,4.2,4.5,UPI
2024-12-26 00:00:00,21:21:55,"""CNR2912296""",Completed,"""CID8094609""",Go Sedan,Rajiv Nagar,Ramesh Nagar,6,26.7,0,Driver asked to cancel,0,More than permitted people in there,0,Vehicle Breakdown,151,11.9,4.9,4.5,UPI
2024-09-05 00:00:00,07:44:18,"""CNR4611314""",Completed,"""CID6968311""",Premier Sedan,Sohna Road,New Delhi Railway Station,5,34.7,0,Driver asked to cancel,0,More than permitted people in there,0,Vehicle Breakdown,512,35.66,3.7,4.9,UPI
2024-11-25 00:00:00,08:29:14,"""CNR2601752""",Cancelled by Customer,"""CID9283370""",Go Sedan,Sadar Bazar Gurgaon,Indraprastha,12,28.61575145,1,Driver asked to cancel,0,More than permitted people in there,0,Vehicle Breakdown,483.4566474,25.46128613,4.22464455,4.404739336,UPI
2024-08-15 00:00:00,18:40:03,"""CNR5793527""",Cancelled by Driver,"""CID5705499""",Premier Sedan,Anand Vihar ISBT,Rohini,3.2,28.61575145,0,Driver asked to cancel,1,Personal & Car related issues,0,Vehicle Breakdown,483.4566474,25.46128613,4.22464455,4.404739336,UPI
2024-02-10 00:00:00,09:17:39,"""CNR4487090""",Completed,"""CID1210782""",Premier Sedan,Lajpat Nagar,Chirag Delhi,9.6,39.1,0,Driver asked to cancel,0,More than permitted people in there,0,Vehicle Breakdown,1390,21.79,5,4.9,UPI
2024-09-26 00:00:00,11:33:51,"""CNR5266935""",Cancelled by Driver,"""CID2831708""",Premier Sedan,Bahadurgarh,Pataudi Chowk,3.9,28.61575145,0,Driver asked to cancel,1,More than permitted people in there,0,Vehicle Breakdown,483.4566474,25.46128613,4.22464455,4.404739336,UPI
2024-07-01 00:00:00,17:39:56,"""CNR1487489""",Completed,"""CID3403699""",Bike,Moolchand,Karol Bagh,3.9,23,0,Driver asked to cancel,0,More than permitted people in there,0,Vehicle Breakdown,224,7.86,4.1,4.2,Cash
2024-10-19 00:00:00,16:24:50,"""CNR6351034""",Completed,"""CID2038230""",Auto,Uttam Nagar,Vaishali,8.4,31.3,0,Driver asked to cancel,0,More than permitted people in there,0,Vehicle Breakdown,708,18.04,4.6,4.8,UPI
2024-02-09 00:00:00,10:51:01,"""CNR7600870""",Completed,"""CID7289498""",Auto,INA Market,IFFCO Chowk,7.7,43.7,0,Driver asked to cancel,0,More than permitted people in there,0,Vehicle Breakdown,153,15.18,4.2,3.6,Uber Wallet
2024-03-31 00:00:00,12:37:12,"""CNR5444321""",Cancelled by Driver,"""CID3326946""",Bike,Sushant Lok,Noida Sector 62,6.3,28.61575145,0,Driver asked to cancel,1,The customer was coughing/sick,0,Vehicle Breakdown,483.4566474,25.46128613,4.22464455,4.404739336,UPI
2024-12-11 00:00:00,17:05:36,"""CNR8509610""",Completed,"""CID8227993""",Bike,IIT Delhi,Mansarovar Park,5,35,0,Driver asked to cancel,0,More than permitted people in there,0,Vehicle Breakdown,72,13.38,4.7,4.2,Cash
2024-06-19 00:00:00,16:19:41,"""CNR6851549""",Incomplete,"""CID9560489""",Go Sedan,Satguru Ram Singh Marg,Punjabi Bagh,8.9,15.6,0,Driver asked to cancel,0,More than permitted people in there,1,Customer Demand,282,11.81,4.22464455,4.404739336,UPI
2024-06-20 00:00:00,18:58:36,"""CNR3318044""",No Driver Found,"""CID4051792""",Go Mini,Adarsh Nagar,Gwal Pahari,8.321474359,28.61575145,0,Driver asked to cancel,0,More than permitted people in there,0,Vehicle Breakdown,483.4566474,25.46128613,4.22464455,4.404739336,UPI
2024-07-10 00:00:00,02:23:12,"""CNR3126177""",Completed,"""CID1851430""",Premier Sedan,Munirka,Saidulajab,10.9,,0,Driver asked to cancel,0,More than permitted people in there,0,Vehicle Breakdown,696,30.9,4.7,3.7,UPI
2024-02-06 00:00:00,21:27:00,"""CNR6453539""",Incomplete,"""CID6999817""",eBike,New Colony,Jasola,5.7,18,0,Driver asked to cancel,0,More than permitted people in there,1,Vehicle Breakdown,936,,4.22464455,4.404739336,Uber Wallet
2024-09-30 00:00:00,12:34:51,"""CNR7449144""",Completed,"""CID8609350""",Auto,IGNOU Road,Tis Hazari,8.6,32.7,0,Driver asked to cancel,0,More than permitted people in there,0,Vehicle Breakdown,2169,44.25,4.4,4.3,Uber Wallet
2024-09-20 00:00:00,13:09:16,"""CNR1970319""",Completed,"""CID6085619""",eBike,Meerut,Udyog Bhawan,9.5,24.6,0,Driver asked to cancel,0,More than permitted people in there,0,Vehicle Breakdown,136,45.46,3.2,3.8,Uber Wallet
2024-04-30 00:00:00,20:25:28,"""CNR4415815""",Completed,"""CID8351180""",Go Mini,Punjabi Bagh,Saket A Block,4.6,38.9,0,Driver asked to cancel,0,More than permitted people in there,0,Vehicle Breakdown,214,2.91,4.1,4.7,UPI
2024-06-04 00:00:00,20:38:07,"""CNR3899082""",Completed,"""CID5467225""",Go Mini,Akshardham,Mayur Vihar,10.3,16.4,0,Driver asked to cancel,0,More than permitted people in there,0,Vehicle Breakdown,835,37.57,4.2,4.8,UPI
2024-10-30 00:00:00,16:29:36,"""CNR3274519""",Cancelled by Driver,"""CID3829804""",eBike,Chhatarpur,Gurgaon Sector 29,6,28.61575145,0,Driver asked to cancel,1,More than permitted people in there,0,Vehicle Breakdown,483.4566474,25.46128613,4.22464455,4.404739336,UPI
2024-08-11 00:00:00,18:21:32,"""CNR3263958""",Completed,"""CID3231090""",Go Sedan,IMT Manesar,Ashram,2.6,36.2,0,Driver asked to cancel,0,More than permitted people in there,0,Vehicle Breakdown,705,40.18,3.9,4.8,UPI
2024-05-21 00:00:00,17:39:58,"""CNR5822542""",No Driver Found,"""CID1628370""",Uber XL,Madipur,DLF City Court,8.321474359,28.61575145,0,Driver asked to cancel,0,More than permitted people in there,0,Vehicle Breakdown,483.4566474,25.46128613,4.22464455,4.404739336,UPI
2024-10-08 00:00:00,08:52:57,"""CNR9652983""",Completed,"""CID4773175""",Go Sedan,Azadpur,Khan Market,2.1,35.5,0,Driver asked to cancel,0,More than permitted people in there,0,Vehicle Breakdown,480,20.22,4.3,4.8,Debit Card
2024-03-26 00:00:00,18:59:52,"""CNR2598306""",Cancelled by Customer,"""CID5704025""",Premier Sedan,Chhatarpur,Badshahpur,14.4,28.61575145,1,AC is not working,0,More than permitted people in there,0,Vehicle Breakdown,483.4566474,25.46128613,4.22464455,4.404739336,UPI
2024-06-24 00:00:00,18:04:39,"""CNR3274827""",Completed,"""CID3134967""",Go Mini,Cyber Hub,Old Gurgaon,7.5,41.7,0,Driver asked to cancel,0,More than permitted people in there,0,Vehicle Breakdown,707,44.76,4.8,4.4,UPI
2024-03-28 00:00:00,19:20:01,"""CNR9139265""",Cancelled by Driver,"""CID4003339""",Bike,Jhilmil,DLF Phase 3,9.9,28.61575145,0,Driver asked to cancel,1,Personal & Car related issues,0,Vehicle Breakdown,483.4566474,25.46128613,4.22464455,4.404739336,UPI
2024-09-27 00:00:00,20:16:53,"""CNR8036415""",Completed,"""CID9244184""",eBike,Sikanderpur,,10,38,0,Driver asked to cancel,0,More than permitted people in there,0,Vehicle Breakdown,865,43.34,3.2,3.8,Cash
